sku,exportName,txt.title,txt.subtitle,txt.giftLeftTitle,txt.giftLeftDesc,txt.giftRightTitle,txt.giftRightDesc,txt.price,txt.bottomText,img.product,img.person,img.giftLeft,img.giftLeftSet,img.giftRight
10069955062064,10069955062064,Spa级云柔肤感 净澈不伤肤,,买即赠,身体乳100g,店铺实付满178元赠,沐沙霜5g+身体乳5g,99,买即赠身体乳100g,products/foam-wash.png,people/zhang-ziyi.png,gifts/body-lotion-100g.png,,gifts/tube-box.png
10070013507486,10070013507486,蛋黄油护肤NO.1,「面霜级身体乳」保湿舒缓实力派,限量加赠,身体乳100g 润肤油2ml*5,店铺实付满178元赠,沐沙霜5g+身体乳5g,109,拍1发3,products/body-lotion.png,people/jiao-wangtao.png,gifts/lotion-ampoule-set.png,,gifts/tube-box.png
10120653734858,10120653734858,双重仿生皮脂 深润修护学龄肌,,限量加赠,一页学龄身体乳100g*3,店铺实付满178元赠,沐沙霜5g+身体乳5g,169,买400ml享700ml,products/body-lotion-400ml.png,people/jiao-wangtao.png,gifts/body-lotion-100g.png,gifts/body-lotion-100g-a.png|gifts/body-lotion-100g-b.png|gifts/body-lotion-100g-c.png,gifts/tube-box.png
